iter	RMSE
0	8.867210518
1	8.27550152
2	7.753477591
3	7.26885818
4	6.841735957
5	6.456784963
6	6.119815781
7	5.830832303
8	5.570287208
9	5.330298521
10	5.117830072
11	4.935845423
12	4.77587646
13	4.626529384
14	4.503848734
15	4.397896092
16	4.305309333
17	4.215926478
18	4.141412258
19	4.076038048
20	4.019896637
21	3.966369927
22	3.921860692
23	3.879921045
24	3.846648672
25	3.813922806
26	3.787782367
27	3.764009627
28	3.74071756
29	3.7163176
30	3.695775672
31	3.679427253
32	3.664112405
33	3.646474989
34	3.634344465
35	3.623067904
36	3.611262788
37	3.602380286
38	3.591995416
39	3.58129019
40	3.571870178
41	3.562942448
42	3.554259782
43	3.546757064
44	3.540090546
45	3.53351458
46	3.526154588
47	3.520028121
48	3.512554133
49	3.505776329
50	3.499599151
51	3.492749137
52	3.486648512
53	3.481679537
54	3.476684639
55	3.471051658
56	3.465695444
57	3.46097369
58	3.456980204
59	3.452690153
60	3.449503932
61	3.444066711
62	3.439959805
63	3.436591334
64	3.43367641
65	3.429239416
66	3.425144164
67	3.4225482
68	3.420214296
69	3.41585796
70	3.41159741
71	3.409157667
72	3.405907687
73	3.402456984
74	3.398659052
75	3.393296354
76	3.38865015
77	3.385090271
78	3.382580791
79	3.379721538
80	3.376697941
81	3.373480273
82	3.37082202
83	3.368789983
84	3.365979699
85	3.363502507
86	3.361890451
87	3.35901956
88	3.356697019
89	3.352655619
90	3.348451636
91	3.344597971
92	3.342153424
93	3.339417394
94	3.337667808
95	3.335007968
96	3.330690593
97	3.328671469
98	3.326091069
99	3.324778678
100	3.322128494
101	3.32032452
102	3.317331471
103	3.314146154
104	3.311705431
105	3.309478711
106	3.306509024
107	3.304372608
108	3.302210678
109	3.299892668
110	3.29804017
111	3.296017522
112	3.292981229
113	3.290926248
114	3.287877067
115	3.28418998
116	3.282764952
117	3.280560704
118	3.27741817
119	3.275914816
120	3.273717102
121	3.271666838
122	3.269308252
123	3.26810315
124	3.265327423
125	3.2630623
126	3.260866215
127	3.258978074
128	3.257075291
129	3.254186061
130	3.252947668
131	3.250844186
132	3.249163622
133	3.247037508
134	3.245842485
135	3.243758851
136	3.241591355
137	3.239099666
138	3.237847182
139	3.236248877
140	3.232719364
141	3.23084773
142	3.22901383
143	3.226805197
144	3.2250992
145	3.222480707
146	3.220827381
147	3.218803258
148	3.217733019
149	3.216178522
150	3.214768855
151	3.2125614
152	3.210460227
153	3.208934491
154	3.206925402
155	3.205680013
156	3.204511983
157	3.203172098
158	3.201018301
159	3.198672689
160	3.196971526
161	3.194697677
162	3.193242561
163	3.192024334
164	3.190843915
165	3.189151932
166	3.187354945
167	3.185341743
168	3.18336656
169	3.181437871
170	3.180217935
171	3.178721553
172	3.177179622
173	3.175860009
174	3.174422024
175	3.173283348
176	3.171515635
177	3.169300344
178	3.167570184
179	3.166373277
180	3.164707955
181	3.163678043
182	3.162273809
183	3.161039775
184	3.159316393
185	3.157779545
186	3.156566796
187	3.154911313
188	3.153732494
189	3.152670909
190	3.148784419
191	3.147910677
192	3.146422099
193	3.145036741
194	3.144101472
195	3.14222453
196	3.140181727
197	3.139234223
198	3.137779603
199	3.136445686
200	3.134921891
201	3.131638088
202	3.130665969
203	3.129240027
204	3.127815875
205	3.126380151
206	3.125036294
207	3.12358385
208	3.121852991
209	3.120817766
210	3.119521405
211	3.118599253
212	3.117783257
213	3.11703688
214	3.115774566
215	3.114407545
216	3.11231462
217	3.111258911
218	3.109797164
219	3.108122099
220	3.10671326
221	3.105915998
222	3.104979698
223	3.103593176
224	3.102058109
225	3.100485247
226	3.099671776
227	3.098290662
228	3.096860525
229	3.095910518
230	3.094942702
231	3.093749595
232	3.09285529
233	3.091673804
234	3.089993119
235	3.088291853
236	3.086986885
237	3.086315963
238	3.084857258
239	3.083787873
240	3.082388107
241	3.080983876
242	3.079909464
243	3.078436261
244	3.077613814
245	3.076178599
246	3.07308796
247	3.072046759
248	3.071367057
249	3.069817955
250	3.068848792
251	3.067869275
252	3.066649657
253	3.065291303
254	3.064439184
255	3.063422619
256	3.062624232
257	3.061524946
258	3.060661308
259	3.059458124
260	3.058436884
261	3.057479375
262	3.056377222
263	3.055062984
264	3.053977613
265	3.053018536
266	3.051961821
267	3.05050697
268	3.049476195
269	3.048366908
270	3.045810173
271	3.044121808
272	3.04323583
273	3.042396382
274	3.041460592
275	3.040422008
276	3.039541903
277	3.039022432
278	3.037992287
279	3.037056758
280	3.036119862
281	3.035467636
