iter	Passed	Remaining
0	17	17292
1	35	17538
2	54	18275
3	72	18122
4	94	18773
5	112	18715
6	130	18443
7	147	18230
8	162	17945
9	178	17636
10	197	17718
11	209	17261
12	224	17020
13	237	16752
14	250	16459
15	267	16457
16	282	16318
17	295	16147
18	308	15945
19	322	15787
20	337	15723
21	353	15694
22	369	15716
23	386	15727
24	402	15685
25	416	15597
26	433	15614
27	451	15661
28	466	15630
29	483	15641
30	496	15521
31	513	15527
32	525	15406
33	537	15280
34	553	15250
35	568	15225
36	584	15217
37	597	15129
38	611	15076
39	627	15053
40	643	15046
41	660	15075
42	686	15272
43	703	15282
44	719	15261
45	732	15185
46	746	15141
47	758	15052
48	771	14975
49	785	14915
50	797	14845
51	814	14857
52	827	14777
53	852	14934
54	868	14921
55	882	14879
56	900	14890
57	917	14897
58	928	14808
59	945	14810
60	957	14738
61	974	14741
62	987	14681
63	1002	14663
64	1019	14658
65	1035	14650
66	1048	14594
67	1062	14565
68	1078	14554
69	1094	14545
70	1109	14517
71	1125	14500
72	1139	14468
73	1153	14433
74	1168	14416
75	1184	14403
76	1199	14373
77	1216	14384
78	1230	14340
79	1244	14308
80	1260	14300
81	1275	14278
82	1291	14263
83	1304	14226
84	1319	14198
85	1335	14195
86	1351	14181
87	1366	14164
88	1382	14146
89	1397	14133
90	1413	14120
91	1430	14114
92	1444	14090
93	1460	14075
94	1477	14075
95	1495	14079
96	1511	14066
97	1528	14066
98	1549	14102
99	1565	14089
100	1581	14077
101	1600	14094
102	1616	14077
103	1634	14079
104	1648	14047
105	1666	14057
106	1684	14057
107	1701	14052
108	1712	13998
109	1726	13966
110	1742	13953
111	1756	13922
112	1771	13908
113	1784	13870
114	1798	13843
115	1815	13834
116	1833	13837
117	1849	13822
118	1868	13829
119	1882	13803
120	1896	13779
121	1910	13747
122	1925	13730
123	1943	13732
124	1963	13741
125	1984	13764
126	2002	13763
127	2021	13771
128	2040	13780
129	2062	13804
130	2081	13804
131	2096	13788
132	2112	13771
133	2128	13757
134	2143	13731
135	2159	13717
136	2179	13727
137	2195	13716
138	2209	13683
139	2221	13649
140	2238	13634
141	2252	13612
142	2266	13585
143	2282	13569
144	2297	13549
145	2314	13536
146	2327	13508
147	2346	13511
148	2364	13505
149	2382	13500
150	2398	13483
151	2416	13481
152	2433	13470
153	2451	13465
154	2471	13471
155	2486	13450
156	2500	13426
157	2514	13398
158	2530	13387
159	2545	13361
160	2562	13354
161	2577	13334
162	2594	13320
163	2610	13306
164	2627	13298
165	2641	13270
166	2658	13260
167	2677	13260
168	2697	13263
169	2710	13234
170	2726	13217
171	2739	13189
172	2756	13174
173	2770	13153
174	2785	13130
175	2799	13105
176	2820	13116
177	2835	13095
178	2848	13063
179	2863	13044
180	2878	13022
181	2893	13006
182	2909	12991
183	2925	12972
184	2942	12962
185	2959	12951
186	2974	12931
187	2990	12915
188	3005	12897
189	3021	12881
190	3042	12886
191	3056	12863
192	3071	12844
193	3085	12820
194	3102	12807
195	3119	12794
196	3140	12802
197	3159	12796
198	3176	12786
199	3192	12771
200	3205	12743
201	3220	12720
202	3236	12705
203	3252	12690
204	3267	12669
205	3281	12649
206	3294	12619
207	3309	12601
208	3322	12576
209	3337	12554
210	3353	12540
211	3369	12523
212	3385	12507
213	3401	12494
214	3418	12480
215	3433	12462
216	3450	12450
217	3464	12427
218	3481	12417
219	3496	12398
220	3515	12390
221	3530	12370
222	3544	12351
223	3564	12346
224	3581	12335
225	3596	12317
226	3613	12306
227	3635	12309
228	3658	12316
229	3673	12299
230	3690	12286
231	3703	12259
232	3716	12234
233	3731	12216
234	3745	12194
235	3763	12184
236	3779	12167
237	3796	12154
238	3810	12134
239	3828	12123
240	3850	12128
241	3867	12113
242	3885	12103
243	3904	12097
244	3918	12075
245	3935	12063
246	3955	12058
247	3973	12047
248	3989	12032
249	4007	12022
250	4026	12015
251	4042	11999
252	4069	12014
253	4086	12000
254	4101	11983
255	4118	11970
256	4142	11976
257	4166	11982
258	4180	11959
259	4193	11935
260	4210	11921
261	4226	11905
262	4242	11887
263	4254	11861
264	4268	11838
265	4278	11807
266	4293	11788
267	4310	11772
268	4322	11744
269	4337	11727
270	4355	11715
271	4370	11696
272	4385	11678
273	4401	11661
274	4413	11634
275	4427	11613
276	4441	11593
277	4456	11573
278	4469	11550
279	4482	11527
280	4500	11514
281	4515	11497
282	4530	11477
283	4544	11458
284	4562	11445
285	4578	11430
286	4594	11415
287	4611	11401
288	4628	11387
289	4648	11381
290	4669	11376
291	4681	11351
292	4695	11330
293	4710	11312
294	4726	11295
295	4743	11281
296	4761	11270
297	4778	11256
298	4797	11247
299	4815	11235
300	4830	11218
301	4847	11204
302	4864	11189
303	4883	11180
304	4898	11161
305	4914	11146
306	4929	11128
307	4945	11111
308	4963	11099
309	4982	11089
310	5000	11077
311	5016	11061
312	5032	11045
313	5046	11026
314	5067	11018
315	5078	10993
316	5094	10976
317	5111	10962
318	5127	10945
319	5145	10934
320	5160	10916
321	5175	10896
322	5190	10879
323	5205	10861
324	5218	10838
325	5231	10816
326	5246	10798
327	5261	10780
328	5279	10767
329	5296	10753
330	5311	10735
331	5329	10723
332	5341	10698
333	5362	10692
334	5378	10676
335	5395	10662
336	5416	10655
337	5430	10636
338	5450	10627
339	5467	10613
340	5485	10600
341	5502	10586
342	5519	10572
343	5541	10566
344	5563	10562
345	5579	10546
346	5597	10532
347	5617	10525
348	5633	10508
349	5651	10495
350	5666	10477
351	5677	10452
352	5694	10436
353	5707	10415
354	5720	10393
355	5737	10378
356	5751	10358
357	5766	10341
358	5781	10322
359	5798	10308
360	5814	10292
361	5830	10274
362	5845	10257
363	5863	10245
364	5881	10231
365	5896	10213
366	5912	10197
367	5927	10179
368	5944	10165
369	5964	10155
370	5978	10136
371	5994	10120
372	6013	10108
373	6030	10093
374	6043	10073
375	6057	10053
376	6075	10039
377	6092	10025
378	6110	10011
379	6127	9996
380	6140	9976
381	6156	9960
382	6176	9949
383	6192	9933
384	6206	9914
385	6223	9899
386	6238	9881
387	6254	9865
388	6273	9853
389	6294	9845
390	6316	9837
391	6331	9819
392	6349	9806
393	6365	9791
394	6385	9780
395	6401	9764
396	6419	9750
397	6434	9731
398	6448	9713
399	6466	9700
400	6483	9684
401	6497	9665
402	6515	9652
403	6531	9635
404	6546	9617
405	6565	9606
406	6582	9591
407	6602	9580
408	6618	9564
409	6634	9547
410	6661	9546
411	6675	9527
412	6687	9505
413	6701	9485
414	6717	9469
415	6731	9450
416	6744	9428
417	6763	9416
418	6779	9400
419	6791	9379
420	6808	9364
421	6825	9348
422	6844	9336
423	6859	9319
424	6875	9302
425	6891	9286
426	6906	9267
427	6922	9251
428	6936	9232
429	6952	9216
430	6969	9200
431	6985	9184
432	7000	9167
433	7016	9151
434	7035	9137
435	7055	9126
436	7072	9111
437	7089	9096
438	7110	9087
439	7129	9073
440	7146	9058
441	7163	9042
442	7175	9022
443	7190	9004
444	7205	8986
445	7219	8967
446	7233	8948
447	7249	8932
448	7265	8915
449	7278	8895
450	7296	8881
451	7309	8861
452	7323	8842
453	7339	8826
454	7352	8806
455	7367	8789
456	7382	8771
457	7397	8754
458	7412	8736
459	7428	8720
460	7446	8706
461	7460	8687
462	7472	8667
463	7488	8651
464	7505	8635
465	7521	8619
466	7541	8606
467	7554	8587
468	7567	8568
469	7584	8552
470	7603	8539
471	7619	8523
472	7636	8508
473	7652	8492
474	7666	8473
475	7681	8456
476	7692	8434
477	7706	8416
478	7721	8398
479	7733	8377
480	7752	8365
481	7765	8345
482	7777	8324
483	7791	8306
484	7809	8292
485	7823	8274
486	7837	8255
487	7853	8240
488	7866	8220
489	7880	8202
490	7895	8185
491	7911	8168
492	7924	8149
493	7940	8133
494	7957	8118
495	7972	8101
496	7987	8083
497	8004	8068
498	8023	8055
499	8043	8043
500	8057	8025
501	8072	8008
502	8084	7987
503	8098	7969
504	8120	7959
505	8134	7941
506	8147	7922
507	8160	7903
508	8175	7886
509	8188	7867
510	8203	7850
511	8217	7832
512	8233	7816
513	8250	7801
514	8262	7781
515	8278	7764
516	8293	7748
517	8312	7734
518	8328	7718
519	8348	7706
520	8367	7692
521	8385	7678
522	8400	7661
523	8417	7646
524	8437	7633
525	8456	7620
526	8474	7606
527	8493	7592
528	8509	7576
529	8524	7559
530	8544	7546
531	8560	7530
532	8576	7514
533	8594	7500
534	8614	7487
535	8635	7475
536	8650	7458
537	8664	7440
538	8679	7423
539	8693	7405
540	8709	7389
541	8724	7371
542	8740	7355
543	8753	7337
544	8769	7321
545	8784	7304
546	8799	7287
547	8814	7270
548	8826	7251
549	8846	7238
550	8862	7222
551	8879	7206
552	8896	7190
553	8912	7175
554	8930	7160
555	8947	7144
556	8960	7126
557	8976	7110
558	8991	7093
559	9008	7077
560	9020	7058
561	9038	7044
562	9052	7026
563	9068	7010
564	9083	6993
565	9101	6979
566	9119	6964
567	9133	6946
568	9149	6930
569	9160	6910
570	9174	6893
571	9189	6876
572	9207	6861
573	9222	6844
574	9238	6828
575	9252	6810
576	9267	6793
577	9280	6776
578	9296	6759
579	9312	6743
580	9332	6730
581	9344	6711
582	9361	6695
583	9377	6679
584	9393	6663
585	9407	6646
586	9423	6630
587	9442	6616
588	9460	6601
589	9478	6586
590	9493	6570
591	9509	6554
592	9525	6537
593	9539	6520
594	9556	6505
595	9572	6488
596	9585	6470
597	9605	6457
598	9622	6441
599	9635	6423
600	9650	6407
601	9664	6389
602	9679	6372
603	9695	6356
604	9711	6340
605	9728	6325
606	9742	6307
607	9757	6290
608	9772	6274
609	9787	6257
610	9800	6239
611	9816	6223
612	9833	6207
613	9850	6192
614	9866	6176
615	9882	6160
616	9900	6145
617	9914	6128
618	9933	6114
619	9951	6099
620	9966	6082
621	9981	6066
622	9997	6050
623	10014	6034
624	10037	6022
625	10052	6005
626	10070	5990
627	10085	5974
628	10100	5957
629	10113	5939
630	10129	5923
631	10142	5905
632	10155	5888
633	10174	5873
634	10188	5856
635	10206	5841
636	10226	5827
637	10242	5811
638	10259	5796
639	10276	5780
640	10292	5764
641	10307	5747
642	10325	5732
643	10339	5715
644	10355	5699
645	10369	5682
646	10383	5665
647	10398	5648
648	10414	5632
649	10430	5616
650	10446	5600
651	10465	5585
652	10488	5573
653	10509	5559
654	10528	5545
655	10548	5531
656	10574	5520
657	10590	5504
658	10606	5488
659	10622	5472
660	10635	5454
661	10649	5437
662	10663	5419
663	10679	5403
664	10695	5387
665	10707	5369
666	10726	5355
667	10741	5338
668	10754	5321
669	10771	5305
670	10786	5288
671	10803	5273
672	10820	5257
673	10835	5241
674	10852	5225
675	10869	5209
676	10882	5191
677	10894	5174
678	10906	5156
679	10923	5140
680	10939	5124
681	10955	5108
682	10970	5091
683	10986	5075
684	11004	5060
685	11021	5044
686	11036	5028
687	11053	5012
688	11070	4997
689	11086	4980
690	11105	4966
691	11119	4949
692	11135	4932
693	11150	4916
694	11163	4899
695	11179	4883
696	11195	4866
697	11210	4850
698	11223	4833
699	11241	4817
700	11257	4801
701	11270	4784
702	11287	4768
703	11301	4751
704	11316	4735
705	11333	4719
706	11350	4703
707	11366	4687
708	11376	4669
709	11392	4653
710	11406	4636
711	11422	4620
712	11436	4603
713	11453	4588
714	11467	4571
715	11483	4554
716	11503	4540
717	11519	4524
718	11539	4509
719	11564	4497
720	11577	4480
721	11591	4463
722	11604	4445
723	11619	4429
724	11633	4412
725	11650	4397
726	11665	4380
727	11681	4364
728	11698	4348
729	11717	4333
730	11736	4319
731	11757	4304
732	11773	4288
733	11791	4273
734	11804	4256
735	11820	4239
736	11836	4223
737	11850	4207
738	11867	4191
739	11884	4175
740	11901	4159
741	11918	4144
742	11936	4128
743	11951	4112
744	11966	4095
745	11979	4078
746	11996	4063
747	12014	4047
748	12030	4031
749	12047	4015
750	12064	4000
751	12080	3984
752	12095	3967
753	12107	3950
754	12126	3935
755	12141	3918
756	12155	3901
757	12171	3885
758	12185	3869
759	12206	3854
760	12223	3838
761	12238	3822
762	12255	3806
763	12271	3790
764	12285	3774
765	12299	3757
766	12318	3741
767	12332	3725
768	12353	3710
769	12371	3695
770	12389	3680
771	12404	3663
772	12424	3648
773	12438	3632
774	12455	3616
775	12473	3600
776	12489	3584
777	12501	3567
778	12515	3550
779	12530	3534
780	12551	3519
781	12566	3503
782	12581	3486
783	12594	3469
784	12610	3453
